Name,Tree,Area (km2),Tree/km2
LAKESIDE,15805,0.59665,26489
CHANGI AIRPORT,10443,0.38625,27037
TAMPINES EAST,10250,1.03051,9947
TYERSALL,9761,0.29019,33636
SELETAR HILLS,9609,0.63257,15190
FRANKEL,9246,0.29365,31487
UPPER THOMSON,8674,0.10374,83613
SERANGOON GARDEN,8288,0.39141,21175
XILIN,7668,36.68040,209
SIMEI,7117,4.20894,1691
WESTERN WATER CATCHMENT,6900,4.96675,1389
SELETAR AEROSPACE PARK,6649,2.19247,3033
CENTRAL WATER CATCHMENT,6572,4.89860,1342
BEDOK NORTH,6521,1.12571,5793
SWISS CLUB,6297,2.70489,2328
BEDOK SOUTH,6190,0.41170,15035
KEMBANGAN,6153,0.19585,31416
ONE NORTH,6153,0.36639,16794
TAMPINES WEST,6004,0.44160,13596
ANAK BUKIT,5811,0.85345,6809
LOWER SELETAR,5647,0.53139,10627
HILLCREST,5524,0.44280,12475
PORT,5352,0.03999,133822
MARYMOUNT,5306,0.18923,28039
TUAS VIEW,5260,0.45039,11679
MARITIME SQUARE,5165,0.52014,9930
BAYSHORE,5058,0.35070,14423
TAGORE,4910,0.17008,28869
ALJUNIED,4849,0.63618,7622
GUL CIRCLE,4752,0.22566,21058
HOLLAND ROAD,4751,0.74884,6344
GEYLANG EAST,4675,0.92552,5051
WOODLANDS EAST,4567,1.75401,2604
PUNGGOL TOWN CENTRE,4483,0.50205,8929
FERNVALE,4436,0.13160,33708
TUAS VIEW EXTENSION,4415,0.27983,15777
KENT RIDGE,4409,0.05561,79291
SENGKANG WEST,4348,0.17165,25330
KAKI BUKIT,4291,0.14546,29499
MOUNTBATTEN,4256,2.43508,1748
KIAN TECK,4205,0.72259,5819
MOUNT PLEASANT,4129,0.31040,13302
PASIR RIS PARK,4089,1.95395,2093
BEDOK RESERVOIR,4061,0.69578,5837
LORONG CHUAN,4047,27.70906,146
TANJONG RHU,4027,0.17293,23286
EAST COAST,3909,0.26259,14886
SIGLAP,3824,1.05387,3629
KOVAN,3817,3.05328,1250
SELETAR,3780,0.33748,11201
BALESTIER,3664,0.27808,13176
LEEDON PARK,3526,1.77240,1989
SEMBAWANG HILLS,3459,5.67595,609
WOODGROVE,3427,2.04302,1677
YUNNAN,3390,3.25948,1040
NASSIM,3350,0.17189,19489
FORT CANNING,3303,0.04944,66804
CONEY ISLAND,3270,2.56097,1277
MATILDA,3209,0.12012,26714
FABER,3186,1.02628,3104
PUNGGOL FIELD,3148,1.15931,2715
BISHAN EAST,3124,1.31994,2367
BENDEMEER,3119,0.96380,3236
BUKIT BATOK SOUTH,3100,1.92346,1612
TAI SENG,3091,3.20239,965
DUNEARN,3084,0.48653,6339
TEBAN GARDENS,3079,1.88109,1637
HILLVIEW,3071,2.38917,1285
CLEMENTI WOODS,3057,0.45956,6652
JOO KOON,2952,0.24827,11890
TAMPINES NORTH,2945,0.79908,3685
KAMPONG UBI,2847,1.93824,1469
NATURE RESERVE,2828,0.75734,3734
TURF CLUB,2817,1.02230,2756
NORTH COAST,2812,0.48450,5804
DAIRY FARM,2797,1.31389,2129
YISHUN EAST,2788,0.94812,2941
WATERWAY EAST,2785,0.74723,3727
RIVERVALE,2773,0.84047,3299
SEMBAWANG STRAITS,2717,0.55498,4896
WOODLANDS SOUTH,2716,1.87893,1446
TUAS NORTH,2706,0.86774,3118
YIO CHU KANG EAST,2690,0.64012,4202
TUAS BAY,2674,0.40959,6528
RIDOUT,2637,0.41711,6322
SPRINGLEAF,2621,1.06298,2466
NORTHSHORE,2614,0.81446,3209
TELOK BLANGAH DRIVE,2604,3.10992,837
KRANJI,2603,0.92317,2820
GALI BATU,2594,1.28930,2012
NORTHLAND,2591,1.40300,1847
MOULMEIN,2563,2.07936,1233
JURONG WEST CENTRAL,2558,2.63520,971
DOVER,2535,1.05856,2395
YISHUN SOUTH,2532,0.44567,5681
TRAFALGAR,2508,2.95887,848
MARINA EAST (MP),2488,2.33914,1064
YUHUA EAST,2485,0.52741,4712
CHOA CHU KANG CENTRAL,2465,0.98936,2492
CHANGI WEST,2457,3.18518,771
KEBUN BAHRU,2428,0.90563,2681
HONG KAH,2427,0.38121,6367
CORONATION ROAD,2412,3.47597,694
HOUGANG EAST,2404,1.22455,1963
LIU FANG,2401,0.49257,4874
WOODLANDS WEST,2399,1.96437,1221
PASIR PANJANG 1,2385,1.09659,2175
CHATSWORTH,2381,1.97708,1204
PASIR RIS CENTRAL,2376,4.34109,547
CHOA CHU KANG NORTH,2366,0.77645,3047
ANCHORVALE,2332,0.67549,3452
GREENWOOD PARK,2304,1.23124,1871
ULU PANDAN,2298,0.96424,2383
YIO CHU KANG NORTH,2273,1.26457,1797
SENGKANG TOWN CENTRE,2263,3.20156,707
TOH TUCK,2261,1.10630,2044
LORONG AH SOO,2246,1.28729,1745
TUAS PROMENADE,2245,0.84206,2666
CHENG SAN,2176,1.00771,2159
CHANGI POINT,2164,0.90980,2379
CHONG BOON,2141,1.33071,1609
PAYA LEBAR EAST,2138,0.61062,3501
PASIR RIS WAFER FAB PARK,2132,0.76361,2792
PENJURU CRESCENT,2110,3.46770,608
LIM CHU KANG,2074,0.86227,2405
TAMAN JURONG,2066,2.77666,744
PASIR RIS DRIVE,2062,0.84457,2441
WEST COAST,2053,1.00240,2048
MALCOLM,2040,0.66823,3053
BOON LAY PLACE,2028,0.62502,3245
CLEMENTI CENTRAL,2002,1.09281,1832
DEFU INDUSTRIAL PARK,1995,0.90769,2198
TENGAH,1983,2.26020,877
KAMPONG BUGIS,1954,1.51444,1290
CLEMENTI NORTH,1931,1.94814,991
BENOI SECTOR,1925,1.07863,1785
SERANGOON NORTH IND ESTATE,1886,0.85921,2195
UPPER PAYA LEBAR,1883,0.54756,3439
MARGARET DRIVE,1877,0.44219,4245
PASIR PANJANG 2,1860,0.96919,1919
SEMBAWANG EAST,1810,2.54121,712
SINGAPORE POLYTECHNIC,1790,0.90495,1978
CHIN BEE,1788,1.04714,1708
SERANGOON CENTRAL,1782,0.92259,1932
BANGKIT,1754,2.45907,713
HONG KAH NORTH,1741,3.65296,477
GOMBAK,1740,5.18494,336
SENNETT,1737,35.09610,49
JURONG RIVER,1736,1.08954,1593
MARINE PARADE,1733,1.56930,1104
TECK WHYE,1724,2.39139,721
HOUGANG WEST,1720,1.38058,1246
SUNSET WAY,1706,0.92258,1849
KATONG,1688,1.41847,1190
WENYA,1687,1.49039,1132
PASIR RIS WEST,1675,1.45473,1151
TOH GUAN,1672,1.49753,1117
TUKANG,1660,8.45280,196
SENOKO SOUTH,1650,0.14248,11581
JURONG PORT,1639,3.29057,498
NEE SOON,1604,1.57640,1018
STRAITS VIEW,1600,1.76985,904
BRICKWORKS,1594,69.75681,23
KEAT HONG,1588,2.04878,775
PAYA LEBAR NORTH,1539,2.21043,696
MANDAI WEST,1536,0.96309,1595
SHIPYARD,1531,0.75813,2019
PANG SUA,1531,1.26201,1213
LOYANG WEST,1530,17.50400,87
ADMIRALTY,1488,1.74042,855
KAMPONG JAVA,1482,1.39490,1062
CLEMENTI WEST,1479,1.09754,1348
YISHUN WEST,1472,67.23585,22
MACPHERSON,1468,1.65037,889
GUILIN,1468,1.51306,970
CITY TERMINALS,1457,0.93665,1556
YISHUN CENTRAL,1432,1.86268,769
MANDAI EAST,1422,2.20529,645
WOODLANDS REGIONAL CENTRE,1413,1.26746,1115
PAYA LEBAR WEST,1403,37.15303,38
POTONG PASIR,1383,3.61865,382
TELOK BLANGAH RISE,1381,1.43207,964
HENDERSON HILL,1370,4.38529,312
SEMBAWANG SPRINGS,1368,1.62978,839
PIONEER SECTOR,1364,2.45135,556
YIO CHU KANG WEST,1362,1.54040,884
PENG SIANG,1361,0.27569,4937
FLORA DRIVE,1357,0.06563,20676
SEMBAWANG CENTRAL,1342,0.56020,2396
CITY HALL,1334,0.16031,8321
TENGEH,1333,0.55093,2420
JURONG GATEWAY,1331,1.08848,1223
CRAWFORD,1308,1.82535,717
ISTANA NEGARA,1306,1.84300,709
MARINA CENTRE,1280,1.45451,880
TIONG BAHRU,1267,0.50726,2498
INTERNATIONAL BUSINESS PARK,1259,1.07103,1176
YUHUA WEST,1254,3.44449,364
ROBERTSON QUAY,1229,0.09071,13549
YEW TEE,1224,0.58635,2088
ALEXANDRA HILL,1222,1.59129,768
COMPASSVALE,1214,0.71019,1709
JOO SENG,1209,0.88792,1362
PEARL'S HILL,1195,0.20028,5967
MARINA EAST,1195,0.59269,2016
SEMBAWANG NORTH,1191,0.33910,3512
CENTRAL SUBZONE,1191,0.33149,3593
KALLANG WAY,1185,0.36887,3213
KANGKAR,1184,7.59958,156
SENOKO NORTH,1168,0.53310,2191
WOODLEIGH,1166,0.11666,9994
LORONG 8 TOA PAYOH,1145,0.22220,5153
CHINATOWN,1139,0.21324,5341
SHANGRI-LA,1129,2.05083,551
PANDAN,1128,1.71306,658
MIDVIEW,1102,1.38723,794
LAVENDER,1095,0.45160,2425
TOA PAYOH CENTRAL,1094,0.54447,2009
SINGAPORE GENERAL HOSPITAL,1060,1.09716,966
MARINA SOUTH,1059,0.38580,2745
NATIONAL UNIVERSITY OF S'PORE,1045,2.79738,374
SENOKO WEST,1038,0.74111,1401
JELEBU,1017,0.45954,2213
BUKIT BATOK CENTRAL,995,0.56015,1776
HOUGANG CENTRAL,994,2.09523,474
PUNGGOL CANAL,979,1.34754,727
QUEENSWAY,971,2.55264,380
SIMPANG NORTH,962,0.94963,1013
KHATIB,941,0.19182,4906
FARRER COURT,935,0.16857,5547
ALEXANDRA NORTH,929,2.99803,310
GEYLANG BAHRU,914,0.84942,1076
YIO CHU KANG,890,0.73424,1212
KAMPONG TIONG BAHRU,885,1.37525,644
LORONG HALUS,882,2.34876,376
GUL BASIN,876,1.42554,615
RESERVOIR VIEW,848,1.08051,785
SERANGOON NORTH,841,0.21343,3940
CAIRNHILL,832,2.46701,337
DEPOT ROAD,815,0.41307,1973
BUKIT BATOK EAST,812,2.11978,383
SAMULUN,800,0.35120,2278
BUKIT BATOK WEST,797,1.22820,649
LEONIE HILL,791,3.39216,233
MEI CHIN,789,3.26051,242
BRAS BASAH,784,1.03840,755
LOYANG EAST,781,2.09787,372
DHOBY GHAUT,775,1.52297,509
KALLANG BAHRU,774,1.48242,522
BIDADARI,761,1.79491,424
SAUJANA,757,2.82087,268
SOMERSET,755,1.80356,419
BOULEVARD,753,2.37826,317
TOWNSVILLE,749,3.14050,238
BUKIT MERAH,732,0.74766,979
CLARKE QUAY,718,0.57000,1260
KIM KEAT,707,2.15713,328
SENJA,706,1.35007,523
EVERTON PARK,697,4.29731,162
TOA PAYOH WEST,672,2.04975,328
FAJAR,644,2.57696,250
BOON KENG,617,0.89693,688
PULAU PUNGGOL TIMOR,599,1.79300,334
FARRER PARK,590,3.18458,185
ONE TREE HILL,590,1.97548,299
SIMPANG SOUTH,589,1.08654,542
GHIM MOH,573,4.13983,138
INSTITUTION HILL,571,1.79666,318
TIONG BAHRU STATION,551,2.25237,245
TELOK BLANGAH WAY,526,2.20780,238
ORANGE GROVE,523,1.18058,443
PLAB,503,0.37090,1356
NORTH-EASTERN ISLANDS,499,1.33369,374
MONK'S HILL,497,0.89637,554
PEI CHUN,489,1.14289,428
BAYFRONT SUBZONE,486,2.76996,175
BUGIS,478,1.58328,302
PULAU PUNGGOL BARAT,461,1.74248,265
BRADDELL,458,7.83640,58
CECIL,453,4.84871,93
GOODWOOD PARK,453,2.32972,194
